Trial,S1_val,S1_std,S2_val,S2_std,Decision (S1>S2)
ERROR,invalid literal for int() with base 10: '',,,,
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
1,0,0.2,-10,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
2,0,0.2,-5,0.2,1
